                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.77849,                 1.0079,                 1.2968,                0.87288,                0.88187,                0.92556,                0.69545,                0.84547,                0.65596,                 1.4284,              0.0087724,              0.0087724,              0.0087724
                    126,                0.77293,                 0.9993,                 1.2952,                0.87625,                0.88688,                0.92793,                0.69676,                0.85307,                0.64228,                 1.4259,              0.0087625,              0.0087625,              0.0087625
                    127,                0.77383,                 1.0035,                 1.2946,                0.87247,                0.89924,                0.92682,                0.69068,                0.87297,                0.64591,                 1.4561,              0.0087526,              0.0087526,              0.0087526
                    128,                0.76499,                 1.0094,                 1.2885,                0.88585,                0.90429,                0.93716,                0.70206,                0.86019,                0.63772,                 1.4345,              0.0087427,              0.0087427,              0.0087427
                    129,                0.78239,                 0.9945,                 1.2999,                0.88172,                0.92184,                0.94254,                0.69644,                0.86988,                0.62507,                 1.4528,              0.0087328,              0.0087328,              0.0087328
                    130,                0.77392,                 1.0138,                 1.2994,                0.85666,                0.92537,                 0.9387,                0.70238,                0.86055,                0.61064,                 1.4394,              0.0087229,              0.0087229,              0.0087229
                    131,                0.77572,                0.99422,                 1.2936,                0.90028,                0.88442,                0.93331,                0.69856,                0.84075,                0.62901,                 1.4307,               0.008713,               0.008713,               0.008713
                    132,                0.76515,                 0.9822,                 1.2871,                0.88329,                0.87493,                0.92773,                0.70239,                0.85456,                0.63747,                 1.4432,              0.0087031,              0.0087031,              0.0087031
                    133,                0.76224,                0.98279,                 1.2812,                0.89491,                0.85829,                0.93296,                0.70042,                0.86019,                0.61495,                 1.4443,              0.0086932,              0.0086932,              0.0086932
                    134,                0.75954,                0.98105,                 1.2821,                0.86934,                0.88579,                 0.9285,                0.69992,                0.85465,                0.62776,                 1.4344,              0.0086833,              0.0086833,              0.0086833
                    135,                0.76026,                0.97102,                 1.2783,                0.90368,                0.89423,                0.93473,                0.70146,                0.86056,                0.61813,                 1.4387,              0.0086734,              0.0086734,              0.0086734
                    136,                0.75156,                0.97651,                 1.2818,                0.89061,                0.89852,                0.93342,                0.70125,                0.85182,                0.61008,                 1.4323,              0.0086635,              0.0086635,              0.0086635
                    137,                 0.7617,                0.95959,                 1.2799,                0.89301,                0.92541,                0.94154,                0.70213,                0.86493,                0.60143,                 1.4408,              0.0086536,              0.0086536,              0.0086536
                    138,                0.75262,                0.96397,                 1.2787,                0.87957,                0.91643,                0.93594,                 0.7046,                0.84823,                0.61525,                 1.4315,              0.0086437,              0.0086437,              0.0086437
                    139,                0.75787,                0.95619,                 1.2748,                0.87073,                 0.9005,                0.93054,                0.70113,                0.83629,                 0.6239,                 1.4195,              0.0086338,              0.0086338,              0.0086338
                    140,                0.74472,                0.96363,                 1.2731,                0.90036,                0.90901,                0.94043,                 0.7086,                0.83355,                0.61105,                 1.4161,              0.0086239,              0.0086239,              0.0086239
                    141,                0.75378,                 0.9595,                 1.2797,                0.88947,                0.90094,                0.93451,                0.70899,                0.85409,                0.62898,                 1.4386,               0.008614,               0.008614,               0.008614
                    142,                0.74709,                0.95363,                 1.2737,                0.88584,                0.90799,                 0.9337,                0.71151,                0.85774,                0.61454,                  1.442,              0.0086041,              0.0086041,              0.0086041
                    143,                0.74944,                0.97798,                 1.2735,                0.89369,                 0.9018,                0.93479,                0.70866,                0.85562,                0.62058,                 1.4313,              0.0085942,              0.0085942,              0.0085942
                    144,                0.74632,                0.96085,                 1.2684,                0.88655,                0.90313,                0.93569,                0.71079,                0.84871,                0.61933,                 1.4233,              0.0085843,              0.0085843,              0.0085843
                    145,                 0.7446,                0.94058,                 1.2689,                0.90575,                0.88325,                0.93287,                 0.7047,                0.84552,                0.61535,                 1.4188,              0.0085744,              0.0085744,              0.0085744
                    146,                0.73839,                0.94074,                 1.2673,                0.87547,                0.91707,                0.93625,                0.71407,                0.83529,                0.60388,                 1.4167,              0.0085645,              0.0085645,              0.0085645
                    147,                0.73752,                0.93724,                 1.2612,                0.86881,                0.90401,                  0.933,                0.72284,                0.82527,                  0.616,                 1.4115,              0.0085546,              0.0085546,              0.0085546
                    148,                0.74733,                0.93448,                 1.2684,                0.90135,                0.90297,                0.93778,                0.72339,                0.83347,                0.61186,                 1.4156,              0.0085447,              0.0085447,              0.0085447
                    149,                0.74219,                0.93749,                 1.2667,                0.89827,                0.88905,                0.93115,                0.71545,                0.83654,                0.60684,                 1.4185,              0.0085348,              0.0085348,              0.0085348
